"","COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","result"
"44","1",95476,183,0,566503,322,17,11,"4","1","4","LEAVE"
"45","1",113385,0,0,333599,819,1,6,"0","4","2","LEAVE"
"46","0",141808,210,23,659709,722,28,5,"1","0","0","LEAVE"
"47","0",159415,66,0,952781,432,4,10,"0","4","0","LEAVE"
"48","0",140959,0,24,259957,867,1,5,"1","3","4","LEAVE"
"49","1",48343,161,0,307531,179,18,11,"0","4","1","LEAVE"
"50","1",36353,184,10,191211,174,5,6,"1","0","2","LEAVE"
"51","1",25396,67,0,403848,248,4,9,"1","1","4","LEAVE"
"52","1",70829,158,21,267119,292,22,6,"0","1","0","LEAVE"
"53","1",137061,58,75,778227,490,3,2,"2","3","2","LEAVE"
"54","1",120594,187,21,177758,191,0,4,"4","0","4","LEAVE"
"55","0",141952,233,0,385333,136,19,6,"2","2","3","LEAVE"
"56","1",140110,41,0,263558,470,3,1,"0","3","2","LEAVE"
"57","1",99512,58,63,164871,691,3,2,"0","3","0","LEAVE"
"58","0",130882,0,0,274679,143,0,15,"4","3","2","LEAVE"
"59","0",75107,164,17,242719,253,15,4,"3","4","2","LEAVE"
"60","1",82406,0,45,245955,383,1,1,"2","0","2","LEAVE"
"61","1",70419,41,77,331368,370,5,1,"0","4","2","LEAVE"
"62","0",130405,280,58,896068,279,21,2,"0","0","2","LEAVE"
"63","0",107983,197,0,196471,826,29,8,"0","4","4","LEAVE"
"64","0",46527,158,0,384756,230,27,4,"0","4","0","LEAVE"
"65","0",35603,163,17,553814,174,29,6,"0","1","2","LEAVE"
"66","1",59308,69,21,288796,344,5,5,"0","1","3","LEAVE"
"67","1",84023,141,8,271053,352,17,4,"2","1","3","LEAVE"
"68","0",129579,229,15,693674,447,27,5,"2","4","4","LEAVE"
"69","1",120240,212,15,169640,679,16,4,"3","1","0","LEAVE"
"70","1",78859,57,49,192232,319,3,1,"4","4","2","LEAVE"
"71","1",78708,62,30,276938,263,3,2,"4","0","3","LEAVE"
"72","1",110421,78,71,766096,200,3,8,"4","0","4","LEAVE"
"73","0",143879,0,0,619165,690,3,11,"0","2","2","LEAVE"
"74","0",30272,63,52,154940,165,3,2,"0","3","2","LEAVE"
"75","1",85104,0,25,184407,343,1,1,"1","1","2","LEAVE"
"76","0",125534,197,0,953117,621,28,12,"0","4","4","LEAVE"
"77","0",59191,258,0,509716,252,15,10,"2","2","1","LEAVE"
"78","0",25114,244,20,186652,168,18,5,"0","1","3","LEAVE"
"79","1",98840,196,5,473153,437,25,5,"0","4","2","LEAVE"
"80","1",54238,191,83,522485,393,20,2,"4","3","2","LEAVE"
"81","1",91059,144,10,188638,299,12,8,"0","0","2","LEAVE"
"82","1",49720,68,18,585641,163,4,5,"0","1","1","LEAVE"
"83","1",149439,225,48,753702,185,23,1,"4","1","4","LEAVE"
"84","1",140208,184,15,492729,400,17,14,"4","1","4","LEAVE"
"85","0",23872,153,41,201534,132,28,1,"4","4","2","LEAVE"
"86","1",154120,258,0,510505,558,18,15,"0","4","2","LEAVE"
"87","0",126596,0,83,723934,870,12,2,"0","1","1","LEAVE"
"88","1",32730,185,14,460438,142,28,5,"2","4","4","LEAVE"
"89","1",92233,0,69,471421,318,0,1,"0","2","4","LEAVE"
"90","0",122540,195,87,804330,202,23,2,"0","1","2","LEAVE"
"91","1",35964,0,66,383013,202,0,2,"2","0","4","LEAVE"
"92","1",84287,0,33,364499,363,0,1,"1","3","2","LEAVE"
"93","1",81142,185,0,337902,330,28,14,"0","1","3","LEAVE"
"94","1",154330,48,0,919902,488,4,10,"0","2","2","LEAVE"
"95","1",51969,194,5,222180,762,21,6,"0","1","2","LEAVE"
"96","0",91234,76,30,557870,286,5,1,"3","1","2","LEAVE"
"97","1",20457,0,32,530281,144,5,1,"3","0","3","LEAVE"
"98","0",37973,0,75,237462,133,0,1,"3","0","3","LEAVE"
"99","0",56570,0,35,436221,309,1,13,"4","1","0","LEAVE"
"100","0",100126,62,0,490643,658,5,13,"1","3","2","LEAVE"
"101","1",145727,0,0,852562,157,0,12,"4","4","1","LEAVE"
"102","0",36306,165,10,234400,170,18,4,"0","1","4","LEAVE"
"103","0",141693,239,25,635447,804,18,2,"4","1","4","LEAVE"
"104","1",148902,0,30,205617,595,1,1,"1","4","0","LEAVE"
"105","0",122755,78,20,294436,875,5,5,"4","1","0","LEAVE"
"106","0",153062,88,84,547222,554,4,2,"3","4","1","LEAVE"
"107","0",52336,0,0,423367,259,1,13,"4","3","0","LEAVE"
"108","0",67526,0,17,404440,368,0,4,"4","4","0","LEAVE"
"109","1",31565,224,62,227630,206,25,1,"4","1","4","LEAVE"
"110","0",156281,169,0,558800,610,16,9,"1","0","0","LEAVE"
"111","1",27268,242,0,215017,158,29,9,"4","4","2","LEAVE"
"112","0",49724,0,0,251171,138,0,11,"1","3","2","LEAVE"
"113","1",37828,57,0,222546,219,3,5,"2","1","4","LEAVE"
"114","1",29168,89,8,177630,199,4,5,"2","0","2","LEAVE"
"115","1",95213,0,0,221664,350,1,13,"0","0","3","LEAVE"
"116","0",43854,0,0,319792,143,1,11,"1","3","2","LEAVE"
"117","0",147931,259,0,184218,858,21,8,"0","1","2","LEAVE"
"118","1",37013,0,0,438901,223,0,13,"0","4","0","LEAVE"
"119","0",144955,272,24,183639,874,16,6,"4","1","4","LEAVE"
"120","0",54329,179,31,165617,326,28,2,"4","1","2","LEAVE"
"121","0",118749,50,23,435396,662,5,6,"0","3","4","LEAVE"
"122","0",80193,0,43,353559,308,1,1,"1","3","4","LEAVE"
"123","0",21802,0,64,324174,140,1,2,"4","1","2","LEAVE"
"124","1",88818,47,0,549081,355,4,14,"4","1","0","LEAVE"
"125","1",114708,160,54,405991,544,28,1,"4","4","2","LEAVE"
"126","0",43486,192,10,929272,183,11,12,"4","0","0","LEAVE"
"127","1",129466,60,0,672504,732,3,12,"3","0","0","LEAVE"
"128","0",80197,177,7,422991,472,5,5,"2","3","0","LEAVE"
"129","0",34584,171,0,291291,240,20,8,"0","3","1","LEAVE"
"130","1",47044,0,18,572935,175,0,4,"1","4","2","LEAVE"
"131","0",65038,0,71,992519,288,1,1,"4","0","2","LEAVE"
"132","1",47067,0,0,416648,208,1,14,"3","3","4","LEAVE"
"133","0",33590,182,70,195022,299,21,2,"4","0","2","LEAVE"
"134","1",39739,174,59,259609,157,25,2,"4","3","1","LEAVE"
"135","0",143292,0,42,339826,808,0,2,"1","0","0","LEAVE"
"136","1",40849,217,0,246242,166,17,12,"2","4","2","LEAVE"
"137","1",141160,223,22,985606,486,25,4,"0","1","2","LEAVE"
"138","1",81645,143,0,410669,387,10,15,"0","1","3","LEAVE"
"139","1",120929,215,17,195065,642,10,4,"0","1","2","LEAVE"
"140","0",105741,0,0,820755,457,1,11,"2","1","2","LEAVE"
"141","1",27751,0,67,380831,158,0,2,"1","4","0","LEAVE"
"142","1",100881,44,24,441388,825,4,6,"4","1","2","LEAVE"
"143","1",47190,64,0,297516,247,3,15,"3","1","3","LEAVE"
"144","1",24539,210,0,485535,168,26,10,"2","1","2","LEAVE"
"145","0",132376,177,16,399301,837,22,5,"4","1","0","LEAVE"
"146","1",149130,68,14,950673,571,3,5,"0","3","2","LEAVE"
"147","0",130539,205,10,347192,717,3,5,"3","1","4","LEAVE"
"148","1",35781,0,20,416332,215,1,5,"0","4","2","LEAVE"
"149","1",122219,0,0,948616,834,1,12,"0","4","2","LEAVE"
"150","1",123610,0,43,214626,552,0,1,"0","0","0","LEAVE"
"151","0",121083,235,0,379688,669,12,11,"0","4","2","LEAVE"
"152","1",91188,219,0,789630,290,27,15,"0","1","3","LEAVE"
"153","1",59617,270,12,560653,270,10,6,"4","1","4","LEAVE"
"154","0",21115,128,43,275690,137,0,1,"0","0","2","LEAVE"
"155","0",60402,199,65,199762,206,28,2,"0","1","0","LEAVE"
"156","0",53576,52,24,584765,385,4,6,"0","0","2","LEAVE"
"157","1",150186,0,0,178654,470,1,6,"2","4","0","LEAVE"
"158","1",126131,0,61,918462,724,1,2,"0","0","4","LEAVE"
"159","0",32200,0,0,285832,225,1,8,"0","1","2","LEAVE"
"160","1",135482,182,89,178040,702,11,2,"0","0","0","LEAVE"
"161","0",49242,165,51,550740,178,11,2,"0","2","2","LEAVE"
"162","0",45977,163,6,520324,153,29,6,"4","1","2","LEAVE"
"163","1",45403,29,24,482581,224,3,5,"0","1","4","LEAVE"
"164","0",104972,0,83,323760,682,0,2,"0","4","0","LEAVE"
"165","1",158532,179,0,615411,570,15,8,"2","1","2","LEAVE"
"166","1",151432,149,0,403646,577,13,9,"2","1","0","LEAVE"
"167","1",103324,99,56,581093,489,1,2,"4","0","2","LEAVE"
"168","0",39056,194,8,719070,212,15,6,"0","4","2","LEAVE"
"169","0",153000,213,41,286292,768,11,2,"4","1","0","LEAVE"
"170","1",24517,164,47,501532,231,20,2,"1","3","4","LEAVE"
"171","1",126759,0,43,776094,606,1,1,"0","4","2","LEAVE"
"172","1",49680,197,0,313599,206,3,1,"0","2","4","LEAVE"
"173","1",40170,0,19,336895,361,1,4,"4","4","0","LEAVE"
"174","0",124405,174,0,990756,425,22,12,"1","4","0","LEAVE"
"175","1",119768,224,9,990030,628,20,5,"1","1","2","LEAVE"
"176","1",27535,0,10,374054,235,1,6,"0","1","2","LEAVE"
"177","0",82147,184,36,230491,141,21,1,"2","3","0","LEAVE"
"178","1",23025,108,0,555808,130,25,9,"0","4","0","LEAVE"
"179","0",138323,0,85,740075,697,1,2,"2","1","2","LEAVE"
"180","0",141969,0,14,788712,213,1,4,"0","4","2","LEAVE"
"181","0",138151,56,0,254982,729,5,9,"0","4","2","LEAVE"
"182","1",106211,67,16,564948,530,24,5,"0","4","0","LEAVE"
"183","0",62490,149,0,447404,351,22,8,"4","1","2","LEAVE"
"184","1",37546,213,84,193208,150,21,9,"1","1","2","LEAVE"
"185","0",51073,64,78,249257,221,3,2,"4","1","1","LEAVE"
"186","0",75842,206,0,187501,298,21,13,"4","2","4","LEAVE"
"187","0",126836,183,67,355799,672,20,2,"0","3","2","LEAVE"
"188","0",136128,161,59,856530,604,20,2,"4","4","4","LEAVE"
"189","1",94715,207,0,292567,343,29,4,"2","1","2","LEAVE"
"190","1",33282,258,14,925576,142,18,6,"1","1","2","LEAVE"
"191","0",41629,44,19,192376,173,5,5,"0","0","3","LEAVE"
"192","1",49482,62,24,336082,203,5,6,"0","1","0","LEAVE"
"193","0",71279,218,0,311250,312,17,13,"2","1","0","LEAVE"
"194","0",77448,31,88,224009,254,3,13,"4","4","4","LEAVE"
"195","0",42470,220,0,231632,148,27,11,"4","3","2","LEAVE"
"196","1",151574,128,0,705220,848,5,2,"2","1","2","LEAVE"
"197","1",149802,62,0,574852,653,5,14,"0","1","2","LEAVE"
"198","0",107052,223,7,990925,539,12,6,"0","4","4","LEAVE"
"199","0",72838,58,35,488999,259,3,1,"0","2","1","LEAVE"
"200","0",82604,221,9,513154,400,13,6,"1","3","2","LEAVE"
"201","0",23852,191,13,289893,249,18,15,"1","1","2","LEAVE"
"202","1",137302,0,0,305734,755,0,12,"0","0","2","LEAVE"
"203","0",95472,183,85,789736,367,17,1,"3","4","4","LEAVE"
"204","1",56649,150,29,596720,288,14,2,"1","1","0","LEAVE"
"205","0",37682,216,0,237262,165,15,15,"0","4","4","LEAVE"
"206","0",131362,194,48,864420,687,21,2,"0","4","4","LEAVE"
"207","1",43713,0,0,312170,245,0,13,"0","2","0","LEAVE"
"208","0",55850,218,0,181980,395,20,10,"4","4","0","LEAVE"
"209","0",36922,75,0,447203,191,27,10,"4","1","2","LEAVE"
"210","1",103605,50,76,322901,878,3,1,"0","3","3","LEAVE"
"211","1",131466,49,10,323414,880,5,4,"1","4","2","LEAVE"
"212","1",126497,0,7,798073,452,1,6,"2","0","3","LEAVE"
"213","0",62628,69,14,817429,389,0,5,"0","4","4","LEAVE"
"214","0",119263,182,20,434497,528,3,1,"0","1","4","LEAVE"
"215","0",64847,200,10,480179,317,22,4,"4","1","2","LEAVE"
"216","1",105889,58,0,482812,421,3,12,"0","0","2","LEAVE"
"217","0",30258,225,8,577227,197,21,6,"2","4","2","LEAVE"
"218","0",88695,67,0,158808,395,4,11,"1","1","3","LEAVE"
"219","0",154696,152,0,400019,299,13,15,"0","0","0","LEAVE"
"220","0",49040,41,0,378773,131,5,14,"4","0","2","LEAVE"
"221","1",21095,202,86,468232,167,16,1,"0","4","2","LEAVE"
"222","1",105821,120,21,225669,850,22,4,"4","0","4","LEAVE"
"223","1",137369,219,0,279082,422,27,15,"2","2","2","LEAVE"
"224","0",67563,118,15,691688,299,14,5,"0","0","4","LEAVE"
"225","1",32260,0,12,376631,352,0,4,"4","4","0","LEAVE"
"226","1",47125,51,59,183761,217,5,2,"0","0","2","LEAVE"
"227","0",49663,221,0,598536,236,12,15,"0","0","2","LEAVE"
"228","0",97124,0,62,301427,313,0,2,"0","0","0","LEAVE"
"229","0",102970,219,58,195252,696,16,2,"2","4","2","LEAVE"
"230","0",79054,165,12,177411,351,27,4,"2","0","0","LEAVE"
"231","0",103029,0,35,897923,436,1,2,"4","4","0","LEAVE"
"232","1",39839,0,0,498578,203,1,15,"1","1","4","LEAVE"
"233","0",74203,174,35,269405,349,24,2,"4","1","0","LEAVE"
"234","0",78880,46,6,336514,334,5,6,"0","1","2","LEAVE"
"235","0",97893,212,0,275692,315,0,10,"0","0","2","LEAVE"
"236","0",82996,0,0,150125,386,1,14,"4","4","2","LEAVE"
"237","0",46154,0,45,309170,229,0,2,"4","1","2","LEAVE"
"238","1",21873,101,5,328132,178,3,5,"1","1","2","LEAVE"
"239","0",55484,219,13,561083,303,11,6,"4","0","2","LEAVE"
"240","0",71442,126,70,447746,275,28,14,"0","3","2","LEAVE"
"241","0",46274,224,0,172600,190,15,12,"0","0","0","LEAVE"
"242","0",150733,0,48,621231,678,0,1,"0","0","4","LEAVE"
"243","1",65409,186,5,470440,336,22,5,"4","1","4","LEAVE"
"244","0",94549,99,50,249786,254,13,1,"4","1","4","LEAVE"
"245","1",68159,178,0,449453,292,23,15,"4","4","2","LEAVE"
"246","1",153177,59,0,477308,536,3,9,"3","3","2","LEAVE"
"247","1",52232,138,0,209527,362,24,14,"4","1","4","LEAVE"
"248","1",53581,234,0,584366,395,29,9,"2","0","3","LEAVE"
"249","1",23837,0,0,496573,211,1,10,"4","0","0","LEAVE"
"250","1",30007,0,0,305287,190,0,13,"0","1","2","LEAVE"
"251","0",96997,216,16,627174,328,22,1,"1","1","2","LEAVE"
"252","1",29617,0,87,924585,298,1,1,"2","1","2","LEAVE"
"253","1",143122,217,20,502318,859,18,4,"1","1","1","LEAVE"
"254","0",149178,209,89,185537,240,26,5,"1","0","2","LEAVE"
"255","0",21890,0,0,333230,218,0,6,"1","1","0","LEAVE"
"256","1",51924,0,13,293022,309,0,4,"2","4","4","LEAVE"
"257","1",88826,0,0,204327,273,0,14,"4","1","2","LEAVE"
"258","1",46311,0,0,795188,153,1,8,"0","0","2","LEAVE"
"259","0",56115,161,0,379828,337,18,8,"0","4","0","LEAVE"
"260","0",54895,225,0,590830,304,16,15,"0","4","4","LEAVE"
"261","0",73074,153,0,411312,391,27,10,"0","4","2","LEAVE"
"262","0",151366,221,82,775221,553,24,1,"4","1","2","LEAVE"
"263","1",39993,0,19,531353,244,1,6,"4","0","0","LEAVE"
"264","0",26092,57,16,205542,178,3,6,"0","0","2","LEAVE"
"265","1",28981,169,18,569499,239,10,6,"1","1","2","LEAVE"
"266","1",23449,52,81,650513,208,3,4,"0","3","2","LEAVE"
"267","1",104726,164,0,264178,473,24,12,"0","4","0","LEAVE"
"268","1",151155,74,0,169335,744,3,14,"0","4","4","LEAVE"
"269","1",147937,201,0,313443,889,18,14,"1","0","0","LEAVE"
"270","0",128237,76,52,900542,432,4,2,"0","4","2","LEAVE"
"271","1",132891,61,18,951069,662,4,4,"4","2","2","LEAVE"
"272","0",29174,201,66,158650,178,26,1,"1","1","2","LEAVE"
"273","1",67983,191,0,207208,384,19,14,"0","4","4","LEAVE"
"274","1",108586,0,29,943974,712,0,1,"2","1","4","LEAVE"
"275","1",89672,214,59,231264,271,27,2,"1","1","3","LEAVE"
"276","0",159536,0,63,738333,896,0,1,"1","0","2","LEAVE"
"277","0",111435,0,71,428106,621,0,2,"0","0","0","LEAVE"
"278","0",40042,0,0,460643,193,1,10,"2","1","2","LEAVE"
"279","1",91851,198,70,217315,552,13,2,"3","1","2","LEAVE"
"280","1",131717,205,84,562874,630,24,1,"0","3","1","LEAVE"
"281","1",94016,47,0,330128,376,3,10,"0","4","0","LEAVE"
"282","1",157976,0,57,742255,588,0,1,"2","0","4","LEAVE"
"283","1",83204,197,52,503106,373,13,1,"1","4","2","LEAVE"
"284","1",26446,56,0,222689,240,3,10,"1","1","2","LEAVE"
"285","1",28885,0,15,572327,228,1,14,"0","3","3","LEAVE"
"286","1",158353,174,21,812932,719,13,6,"0","1","0","LEAVE"
"287","1",62138,194,58,441201,216,13,1,"0","1","4","LEAVE"
"288","0",28357,168,67,180058,185,17,2,"0","0","2","LEAVE"
"289","1",32678,0,66,151069,220,1,1,"0","0","2","LEAVE"
"290","0",40965,64,17,205210,206,4,6,"0","1","0","LEAVE"
"291","1",117887,0,39,541554,630,1,2,"1","1","4","LEAVE"
"292","0",111757,193,0,625435,798,25,9,"4","1","4","LEAVE"
"293","0",77316,0,29,228148,293,10,1,"0","1","2","LEAVE"
"294","1",43313,46,0,957517,159,4,11,"1","0","0","LEAVE"
"295","1",159273,221,17,473121,592,15,4,"1","4","4","LEAVE"
"296","0",123995,0,0,732469,511,1,14,"1","4","2","LEAVE"
"297","1",45438,223,54,334673,171,20,1,"4","3","4","LEAVE"
"298","1",49114,237,85,696823,197,1,1,"1","1","2","LEAVE"
"299","0",83947,58,74,215552,377,23,2,"4","1","3","LEAVE"
"300","0",147410,161,0,227336,461,4,8,"1","1","1","LEAVE"
"301","1",23537,50,0,641569,375,3,15,"0","1","4","LEAVE"
"302","0",98453,64,68,185101,255,4,2,"0","0","1","LEAVE"
"303","1",82947,226,69,509306,379,24,1,"0","3","1","LEAVE"
"304","1",27331,0,42,337906,217,1,1,"1","3","2","LEAVE"
"305","1",31799,238,44,246763,232,20,1,"4","0","2","LEAVE"
"306","0",121710,25,17,557764,687,5,4,"4","1","2","LEAVE"
"307","1",46225,176,19,263891,246,23,4,"0","2","0","LEAVE"
"308","0",134498,0,0,235495,461,1,11,"1","3","4","LEAVE"
"309","0",27739,168,0,524347,217,25,10,"1","0","0","LEAVE"
"310","0",149362,74,50,967417,624,4,2,"1","3","2","LEAVE"
"311","0",134900,217,0,153118,673,27,15,"0","4","0","LEAVE"
"312","0",43759,163,55,241472,212,10,2,"0","1","0","LEAVE"
"313","1",52599,209,33,464939,321,1,1,"0","0","4","LEAVE"
"314","0",122135,45,17,319450,781,5,4,"0","0","2","LEAVE"
"315","1",28239,0,0,410188,394,1,13,"4","4","3","LEAVE"
"316","0",117878,55,0,260962,473,12,12,"4","1","1","LEAVE"
"317","0",27888,176,0,242119,228,28,6,"1","3","2","LEAVE"
"318","1",155799,45,0,545642,432,1,12,"4","0","0","LEAVE"
"319","1",29069,0,57,370641,209,0,1,"0","1","2","LEAVE"
"320","1",23756,184,0,927687,197,15,10,"0","0","4","LEAVE"
"321","1",130516,176,14,312724,871,11,4,"3","4","2","LEAVE"
"322","1",150246,239,69,184259,481,11,12,"3","1","4","LEAVE"
"323","1",155625,172,12,907618,885,26,5,"4","1","1","LEAVE"
"324","1",61243,174,0,998519,381,25,15,"1","1","2","LEAVE"
"325","0",52943,38,16,675198,277,5,6,"1","4","0","LEAVE"
"326","0",27385,185,0,885827,199,13,14,"0","0","4","LEAVE"
"327","1",36180,0,0,222379,290,0,15,"2","4","2","LEAVE"
"328","1",142895,183,0,529329,610,13,10,"0","1","3","LEAVE"
"329","1",24992,0,0,474396,240,0,11,"0","1","0","LEAVE"
"330","0",107481,63,31,162506,451,3,1,"3","0","4","LEAVE"
"331","0",21040,216,79,209060,202,20,2,"1","1","4","LEAVE"
"332","1",144388,81,34,898636,557,4,1,"0","1","2","LEAVE"
"333","0",46681,207,16,449569,154,4,6,"0","0","2","LEAVE"
"334","1",137703,0,32,211248,626,0,9,"0","3","2","LEAVE"
"335","0",80358,72,13,742211,259,3,4,"4","0","3","LEAVE"
"336","1",114178,185,0,509062,504,29,9,"0","3","0","LEAVE"
"337","1",118844,49,77,175092,647,4,1,"4","0","2","LEAVE"
"338","0",46762,213,0,451911,357,18,15,"0","4","2","LEAVE"
"339","0",46633,57,15,496161,231,5,5,"0","1","1","LEAVE"
"340","1",20949,0,50,482071,168,0,2,"4","0","4","LEAVE"
"341","0",124960,0,75,989309,351,1,2,"0","1","2","LEAVE"
"342","1",128026,0,0,185791,727,0,11,"0","1","3","LEAVE"
"343","1",129464,139,0,250838,675,21,1,"0","4","2","LEAVE"
"344","1",20326,88,0,890153,240,5,11,"0","4","2","LEAVE"
"345","1",148349,0,70,444371,716,1,4,"0","0","3","LEAVE"
"346","0",45258,61,87,247355,359,5,9,"0","4","4","LEAVE"
"347","1",37219,186,0,228331,131,29,11,"0","0","2","LEAVE"
"348","1",20233,160,0,252195,163,24,5,"4","1","4","LEAVE"
"349","0",126178,69,16,790978,792,5,5,"4","1","3","LEAVE"
"350","1",123176,220,0,172466,819,17,14,"2","4","0","LEAVE"
"351","1",149673,69,5,298950,771,3,4,"0","1","0","LEAVE"
"352","1",105622,178,0,278281,434,18,13,"3","4","0","LEAVE"
"353","1",48377,60,11,239012,215,1,6,"0","4","2","LEAVE"
"354","1",35045,58,19,371235,140,3,6,"4","3","2","LEAVE"
"355","1",121020,0,75,195566,523,0,2,"4","4","2","LEAVE"
"356","1",20007,36,23,251334,217,4,6,"4","1","4","LEAVE"
"357","1",89439,47,7,475034,376,4,6,"0","4","0","LEAVE"
"358","1",41537,33,33,293095,175,4,2,"1","0","2","LEAVE"
"359","0",125049,0,0,517315,557,1,9,"1","4","2","LEAVE"
"360","0",149008,201,0,865600,487,27,15,"1","2","2","LEAVE"
"361","1",136426,195,23,241994,573,4,1,"4","4","2","LEAVE"
"362","1",148790,0,57,709354,679,0,6,"4","0","2","LEAVE"
"363","1",28776,60,8,590968,238,5,5,"0","3","2","LEAVE"
"364","0",109784,193,34,347258,654,19,2,"3","0","2","LEAVE"
"365","0",114070,45,78,558303,209,5,1,"4","1","4","LEAVE"
"366","0",143904,51,52,183639,448,1,8,"4","2","2","LEAVE"
"367","1",126485,156,0,155016,701,25,8,"4","1","2","LEAVE"
"368","1",44468,232,12,180545,131,5,6,"1","0","1","LEAVE"
"369","0",131085,145,0,627963,790,15,9,"4","1","2","LEAVE"
"370","0",112219,192,0,992777,655,16,9,"1","2","2","LEAVE"
"371","0",102682,65,13,447901,697,5,2,"4","0","4","LEAVE"
"372","0",22626,54,0,232977,202,5,15,"1","1","2","LEAVE"
"373","1",129679,220,12,723325,684,22,1,"1","4","4","LEAVE"
"374","1",41177,171,0,448516,342,10,12,"4","1","2","LEAVE"
"375","0",121210,47,89,223661,448,5,1,"2","0","0","LEAVE"
"376","1",93783,221,0,239656,319,15,4,"4","0","0","LEAVE"
"377","0",131121,0,86,454841,439,0,1,"1","4","2","LEAVE"
"378","1",104497,70,33,336317,712,4,1,"4","1","3","LEAVE"
"379","1",40987,159,66,150330,151,27,2,"0","1","0","LEAVE"
"380","1",36500,0,81,292625,233,0,1,"1","1","4","LEAVE"
"381","0",47762,0,0,224162,166,0,1,"0","1","2","LEAVE"
"382","0",44390,0,55,188556,132,0,2,"4","0","2","LEAVE"
"383","0",47718,38,15,252386,147,4,5,"2","1","2","LEAVE"
"384","0",153966,167,61,270817,680,15,11,"1","1","2","LEAVE"
"385","1",92537,0,71,579569,310,1,2,"0","1","0","LEAVE"
"386","1",79197,64,0,268908,378,5,13,"0","3","2","LEAVE"
"387","0",138911,193,0,947805,862,26,15,"2","0","3","LEAVE"
"388","1",54303,82,23,202020,385,3,5,"0","0","4","LEAVE"
"389","0",138133,191,67,540755,833,12,1,"4","4","4","LEAVE"
"390","1",128904,0,12,635075,412,1,5,"3","1","4","LEAVE"
"391","0",78308,59,51,531990,315,3,4,"0","0","2","LEAVE"
"392","0",79175,65,40,175419,257,5,2,"1","1","2","LEAVE"
