"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,6,6,6,16,18,18,15,13,24,NA,"Asian","M",NA,22,2,84,NA,NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2012,2013]"
"Y","N","Y","N","College of Nursing","NURS",NA,NA,NA,14,6,14,30,34,28,29,28,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,111,2,124,"Y",NA,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,14,14,14,NA,NA,NA,NA,NA,23,NA,"White, not of Hispanic or Latino(a) origin","M",21,40,2,100,"Y",21,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ART",NA,NA,NA,12,9,12,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,60,"Y",NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,12,12,12,23,24,29,19,21,19,NA,"African American or Black","M",79,45,2,46,NA,79,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,16,16,16,32,27,33,34,33,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,96,2,130,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,14,13,14,32,33,33,31,32,19,NA,"White, not of Hispanic or Latino(a) origin","M",99,17,2,50,"Y",99,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,13,13,9,27,33,26,25,23,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,34,2,43,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENVIR_SCI",NA,NA,NA,16,15,16,23,19,24,21,27,22,"Y","Race and Ethnicity unknown","M",80,70,2,120,NA,80,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"Y","N","Y","B","Tippie College of Business","MKTG","B","Tippie College of Business","MGMT",20,18,20,26,25,26,28,24,20,NA,"White, not of Hispanic or Latino(a) origin","F",98,48,2,78,"Y",98,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","E","College of Engineering","CHEM_ENGR",NA,NA,NA,16,13,16,23,19,24,22,25,20,NA,"Asian","M",NA,75,2,80,NA,NA,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTERNATL_RELATIONS","A","College of Liberal Arts and Sciences","GERMAN",9,NA,NA,26,24,25,31,25,22,NA,"White, not of Hispanic or Latino(a) origin","M",81,98,2,112,"Y",81,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","ATHL_TNG_INT","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",6,6,6,21,18,21,20,23,19,NA,"White, not of Hispanic or Latino(a) origin","M",73,12,2,32,"Y",73,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","ENGL","A","College of Liberal Arts and Sciences","THEATRE_ARTS",13,14,14,26,31,22,26,26,21,NA,"White, not of Hispanic or Latino(a) origin","F",83,75,2,94,"Y",83,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,14,10,10,NA,NA,NA,NA,NA,25,NA,"Hispanic or Latino(a)","M",NA,24,4,80,NA,NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","SPORT_STUDIES",NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,23,NA,"African American or Black","M",37,45,2,110,NA,37,"N","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INFORM_COMP_SCI","A","College of Liberal Arts and Sciences","ART",9,9,9,NA,NA,NA,NA,NA,25,NA,"White, not of Hispanic or Latino(a) origin","M",72,32,2,92,"Y",72,"N","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,15,14,15,31,34,28,32,28,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,12,2,24,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","M","Carver College of Medicine","RAD_SCI",NA,NA,NA,12,12,12,20,16,21,19,22,21,NA,"White, not of Hispanic or Latino(a) origin","M",63,68,2,84,"Y",63,"N","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,16,14,14,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","F",NA,79,2,82,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","PRE_OCCUP_THERAPY",13,13,13,23,23,24,23,21,19,NA,"Hispanic or Latino(a)","F",84,14,2,36,NA,84,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","E","College of Engineering","BIOMED_ENGR",NA,NA,NA,4,4,4,30,26,31,30,34,18,NA,"White, not of Hispanic or Latino(a) origin","M",100,4,2,22,"Y",100,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","THERAPEUTIC_REC : SP_INCLUSIVE_REC",NA,NA,NA,16,16,16,24,25,27,23,19,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,39,2,46,"Y",NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,15,14,15,34,34,31,35,34,19,NA,"Asian","F",NA,13,2,37,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","ACTG","B","Tippie College of Business","BUSN_ANALYTICS_INFO_SYS",19,15,17,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,75,4,88,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_MED",NA,NA,NA,18,16,18,32,36,28,32,32,17,NA,"White, not of Hispanic or Latino(a) origin","M",NA,NA,4,17,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","B","Tippie College of Business","ECON",NA,NA,NA,14,12,14,28,26,26,32,27,22,NA,"Hispanic or Latino(a)","M",63,98,2,116,NA,63,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","B","Tippie College of Business","BUSN_STANDARD_ADM",NA,NA,NA,16,16,16,23,23,25,20,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,44,2,63,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","RAD_SCI_INT",NA,NA,NA,12,11,12,24,23,25,24,22,19,NA,"White, not of Hispanic or Latino(a) origin","F",96,38,2,63,"Y",96,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,12,12,12,26,26,22,30,25,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,29,4,42,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","MICROBIOL","A","College of Liberal Arts and Sciences","ANTH",18,18,18,20,18,19,23,21,19,NA,"African American or Black","F",75,51,2,58,NA,75,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","N","A","College of Liberal Arts and Sciences","SOC_WK_INT",NA,NA,NA,16,13,16,29,33,27,27,28,18,NA,"White, not of Hispanic or Latino(a) origin","F",NA,12,2,32,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","SOC_WK_INT",NA,NA,NA,12,3,9,NA,NA,NA,NA,NA,31,NA,"Hispanic or Latino(a)","F",NA,NA,4,55,NA,NA,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","N","Y","A","College of Liberal Arts and Sciences","MICROBIOL","A","College of Liberal Arts and Sciences","PRE_PHYS_ASST",16,16,16,27,29,26,26,25,19,NA,"Hispanic or Latino(a)","F",NA,16,2,22,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,15,14,15,29,31,27,28,29,22,NA,"Multi-Racial","F",NA,91,2,108,"Y",NA,NA,"(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS","A","College of Liberal Arts and Sciences","PHAR_INT",18,18,18,28,28,27,27,29,20,NA,"White, not of Hispanic or Latino(a) origin","M",91,81,2,103,"Y",91,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,15,15,15,23,24,21,23,24,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,62,2,69,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","THEATRE_ARTS",NA,NA,NA,13,13,13,23,21,17,30,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,14,2,46,"Y",NA,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,14,13,14,25,25,25,24,25,18,NA,"White, not of Hispanic or Latino(a) origin","F",NA,14,2,19,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","F",85,48,2,77,"Y",85,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","Y","N","College of Nursing","NURS",NA,NA,NA,18,10,18,26,24,29,23,26,22,NA,"White, not of Hispanic or Latino(a) origin","F",87,111,2,129,"Y",87,"N","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",13,12,13,NA,NA,NA,NA,NA,23,NA,"White, not of Hispanic or Latino(a) origin","F",NA,42,2,105.5,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,14,9,9,22,18,26,24,21,19,NA,"African American or Black","M",NA,14,2,16,NA,NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,18,17,18,21,21,19,23,21,21,NA,"White, not of Hispanic or Latino(a) origin","F",79,79,2,82,"Y",79,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","BIOLOGY","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",14,10,10,23,19,25,22,24,23,NA,"White, not of Hispanic or Latino(a) origin","M",NA,110,2,139,"Y",NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,17,17,17,28,26,29,30,28,20,NA,"White, not of Hispanic or Latino(a) origin","M",70,6,2,6,"Y",70,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","INTERNATL_RELATIONS","A","College of Liberal Arts and Sciences","POL_SCI",13,13,NA,NA,NA,NA,NA,NA,21,NA,"Hispanic or Latino(a)","M",NA,10,2,43,NA,NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","THEATRE_ARTS","A","College of Liberal Arts and Sciences","PRE_DENT",13,13,13,22,21,24,22,21,21,NA,"White, not of Hispanic or Latino(a) origin","F",74,74,2,121,"Y",74,"N","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HIST",NA,NA,NA,12,12,12,21,20,18,22,23,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,13,2,18,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,12,NA,NA,27,25,30,27,25,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,55,2,76,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,96,2,102,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","CHEM","A","College of Liberal Arts and Sciences","PRE_MED",13,12,13,20,20,18,19,22,21,NA,"White, not of Hispanic or Latino(a) origin","M",23,35,2,47,"Y",23,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","N","A","College of Liberal Arts and Sciences","SOC_WK_INT",NA,NA,NA,12,12,12,24,22,27,21,25,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,38,2,58,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","BIOCHEM","A","College of Liberal Arts and Sciences","SEC_EDUC_INT",14,14,14,27,27,26,31,24,19,NA,"Asian","F",NA,11,2,17,NA,NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","E","College of Engineering","CIV_ENGR",NA,NA,NA,15,15,15,31,32,29,28,34,19,NA,"Hispanic or Latino(a)","M",NA,50,2,62,NA,NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","N","Y","A","College of Liberal Arts and Sciences","INTERNATL_RELATIONS",NA,NA,NA,10,9,9,23,25,21,23,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,59,2,60,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,15,15,15,24,23,22,25,25,19,NA,"Hispanic or Latino(a)","M",NA,13,2,18,NA,NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,14,10,11,30,30,28,31,29,22,NA,"White, not of Hispanic or Latino(a) origin","M",88,85,2,92,"Y",88,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,14,14,14,25,21,32,22,26,19,NA,"White, not of Hispanic or Latino(a) origin","M",82,13,2,22,"Y",82,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,15,14,15,25,24,18,32,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,14,2,19,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","CHEM","A","College of Liberal Arts and Sciences","PHAR_INT",16,16,16,31,28,33,34,29,18,NA,"White, not of Hispanic or Latino(a) origin","F",80,15,2,40,"Y",80,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","SPEECH_HEAR_SCI",NA,NA,NA,12,10,11,24,24,25,25,22,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,102,2,110,"Y",NA,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ETH_PUBL_POL",NA,NA,NA,14,14,14,26,27,21,31,24,21,NA,"Multi-Racial","F",89,72,2,105,"Y",89,"N","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HIST",NA,NA,NA,3,3,3,21,17,22,22,23,24,NA,"White, not of Hispanic or Latino(a) origin","M",NA,101,2,103,"Y",NA,NA,"(3,4]","(3,4]","[3,3]","[0,0]",NA,"[1,1]","(2008,2009]"
"N","Y","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,12,12,12,30,29,33,32,27,22,NA,"White, not of Hispanic or Latino(a) origin","F",94,115,2,120,"Y",94,"Y","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",15,12,12,29,25,32,33,24,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,10,2,35,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMM","A","College of Liberal Arts and Sciences","HIST",13,13,13,NA,NA,NA,NA,NA,29,NA,"White, not of Hispanic or Latino(a) origin","M",NA,23,2,83,"Y",NA,"N","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",9,NA,NA,15,13,15,17,14,22,NA,"Hispanic or Latino(a)","M",NA,10,2,62,NA,NA,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,13,10,13,26,24,28,23,30,22,NA,"White, not of Hispanic or Latino(a) origin","M",68,100,2,107,"Y",68,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","THERAPEUTIC_REC : SP_INCLUSIVE_REC",NA,NA,NA,12,NA,12,23,22,22,23,23,22,NA,"White, not of Hispanic or Latino(a) origin","F",58,64,2,127,"Y",58,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","MUSIC : SP_MUSIC_THER",NA,NA,NA,2,2,2,29,31,26,30,30,22,NA,"White, not of Hispanic or Latino(a) origin","F",NA,126,2,156,"Y",NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",14,14,14,23,22,23,24,24,22,NA,"White, not of Hispanic or Latino(a) origin","M",28,76,2,83,"Y",28,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,18,14,18,31,33,33,32,26,18,NA,"White, not of Hispanic or Latino(a) origin","F",96,14,2,42,"Y",96,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","FINANCE","B","Tippie College of Business","BUSN_ANALYTICS_INFO_SYS",17,15,17,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","F",NA,86,1,87,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,16,13,13,23,21,25,22,22,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,75,2,75,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,18,18,15,NA,NA,NA,NA,NA,27,NA,"Nonresident Alien","M",NA,95,1,91,NA,NA,NA,"(3,4]","(3,4]","(3,5]","(0,1]","[1,1]","[1,1]","(2010,2011]"
